選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
山　田,3,78,74,79,58,67,50,ヤクルト,23
川　端,3,75,63,70,58,61,51,ヤクルト,5
雄　平,3,70,77,61,65,43,36,ヤクルト,41
森　岡,3,70,43,53,53,60,59,ヤクルト,10
畠　山,3,69,65,29,51,51,36,ヤクルト,33
中　村,3,64,45,65,80,54,40,ヤクルト,52
松　元,3,59,50,38,43,43,37,ヤクルト,31
荒　木,3,53,51,58,55,51,46,ヤクルト,24
比屋根,3,50,41,90,55,50,51,ヤクルト,0
三　輪,1,48,29,88,45,54,51,ヤクルト,60
バレンティン,4,47,92,56,80,45,45,ヤクルト,4
田中浩,2,46,40,67,57,61,66,ヤクルト,7
飯　原,3,45,52,78,68,41,39,ヤクルト,9
野　口,3,43,47,72,40,46,49,ヤクルト,55
岩　村,3,43,58,45,60,57,47,ヤクルト,48
ミレッジ,3,41,60,73,55,66,47,ヤクルト,85
藤　井,2,37,38,75,68,36,31,ヤクルト,51
武　内,3,37,48,48,47,71,65,ヤクルト,8
今　浪,2,36,39,56,57,55,52,ヤクルト,59
新　田,3,35,51,50,57,32,33,ヤクルト,32
田中雅,2,35,43,63,50,49,32,ヤクルト,28
上　田,2,34,46,80,70,57,46,ヤクルト,50
相　川,3,34,52,50,58,62,62,ヤクルト,2
川　崎,3,34,45,62,57,55,54,ヤクルト,64
西　田,2,33,41,51,71,40,37,ヤクルト,30
松井淳,4,31,57,59,56,39,38,ヤクルト,57
西　浦,3,29,40,60,53,50,48,ヤクルト,3
谷　内,2,28,36,55,58,54,52,ヤクルト,46
又　野,3,21,50,37,57,29,26,ヤクルト,39
川　上,3,19,40,65,62,37,35,ヤクルト,36
星　野,3,18,44,39,69,41,32,ヤクルト,37
鳥　谷,3,77,56,72,75,82,93,阪神,1
マートン,3,73,64,53,46,52,49,阪神,9
上　本,2,66,47,75,46,64,45,阪神,4
今　成,2,65,51,56,57,50,43,阪神,49
ゴメス,4,60,81,39,57,38,50,阪神,5
新井良,4,59,68,52,46,34,22,阪神,32
西　岡,2,56,46,77,69,75,44,阪神,7
新　井,3,55,63,44,44,49,51,阪神,25
坂,2,52,49,69,54,59,58,阪神,35
田　上,1,51,22,80,68,59,58,阪神,61
関　本,3,50,41,37,49,54,51,阪神,3
緒　方,2,46,45,81,74,40,42,阪神,65
狩　野,3,44,51,59,58,37,32,阪神,99
高　山,3,43,51,49,65,45,38,阪神,62
鶴　岡,2,42,42,47,64,58,57,阪神,40
俊　介,3,41,41,76,62,60,74,阪神,68
大　和,1,40,38,79,69,76,80,阪神,0
藤　井,2,38,42,34,56,58,74,阪神,50
柴　田,2,36,43,83,58,40,37,阪神,00
日　高,3,36,52,35,54,57,52,阪神,37
黒　瀬,3,36,56,60,55,37,27,阪神,38
福　留,3,33,55,57,78,66,63,阪神,8
伊藤隼,3,31,54,71,65,40,42,阪神,51
荒　木,2,30,29,84,49,40,44,阪神,58
梅　野,4,28,67,61,74,43,32,阪神,44
森　田,3,28,55,51,34,30,31,阪神,69
一二三,3,23,42,62,63,25,26,阪神,36
西　田,3,22,40,58,50,37,23,阪神,33
岡　崎,3,22,45,46,83,36,44,阪神,57
小宮山,2,20,35,58,71,51,31,阪神,39
北　條,3,19,44,61,61,36,23,阪神,2
陽　川,3,19,53,64,68,25,28,阪神,55
清　水,2,18,39,53,53,52,41,阪神,45
中　谷,3,16,46,48,69,26,28,阪神,60
横　田,3,15,43,68,66,30,28,阪神,24
小豆畑,3,13,39,55,75,45,46,阪神,52
アンダーソン,3,77,72,51,65,43,46,巨人,42
亀　井,3,68,64,72,80,74,58,巨人,9
坂　本,3,67,61,74,69,73,45,巨人,6
橋　本,3,64,46,72,73,61,42,巨人,32
長　野,3,61,62,72,78,62,63,巨人,7
村　田,4,54,74,40,69,62,44,巨人,25
松本哲,1,51,28,77,58,77,75,巨人,31
ロペス,3,46,81,42,66,62,49,巨人,5
阿　部,4,46,75,24,53,53,37,巨人,10
小　林,2,45,43,56,83,53,54,巨人,22
片　岡,3,43,51,72,44,61,41,巨人,8
横　川,3,43,55,56,60,41,40,巨人,51
井　端,2,42,44,57,60,70,77,巨人,2
高橋由,4,40,61,46,60,58,61,巨人,24
矢　野,3,39,47,57,59,44,56,巨人,48
加治前,3,39,50,52,53,52,47,巨人,50
寺　内,2,38,38,67,72,62,43,巨人,00
石　井,3,37,44,58,43,33,34,巨人,33
鈴木尚,2,37,32,84,48,59,76,巨人,12
中　井,3,35,57,50,58,38,39,巨人,36
藤　村,1,32,31,94,44,55,44,巨人,0
實　松,3,32,51,39,68,51,45,巨人,27
井　野,2,30,41,44,64,51,34,巨人,38
加　藤,2,29,37,39,57,46,57,巨人,40
大　田,3,29,60,66,60,42,33,巨人,44
立　岡,2,29,38,68,64,42,24,巨人,58
坂　口,3,29,55,51,69,43,44,巨人,56
辻,3,26,48,61,74,41,41,巨人,65
奥　村,2,26,32,62,54,41,36,巨人,91
大　累,1,26,26,87,55,42,37,巨人,39
隠　善,2,26,44,65,56,52,54,巨人,52
和　田,3,25,42,47,62,45,38,巨人,61
鬼屋敷,2,24,44,58,74,35,33,巨人,64
河　野,2,23,42,47,72,38,52,巨人,53
セペダ,3,18,76,53,59,41,54,巨人,23
菊　池,3,76,56,82,74,90,48,広島,33
松　山,3,72,55,50,64,37,29,広島,37
丸,3,71,75,70,60,62,46,広島,9
木　村,2,70,42,67,61,64,64,広島,66
天　谷,2,69,55,84,41,51,64,広島,49
ロサリオ,3,65,72,73,57,39,37,広島,69
エルドレッド,4,60,96,48,67,61,45,広島,55
キ　ラ,4,60,70,46,63,43,44,広島,13
小　窪,2,56,45,49,48,48,43,広島,4
中　東,2,55,39,71,62,62,49,広島,00
會　澤,3,53,58,44,66,46,41,広島,64
田　中,3,44,47,59,53,57,59,広島,63
土　生,3,44,44,58,65,52,50,広島,43
上　本,3,43,39,62,58,60,70,広島,0
堂　林,3,41,60,56,62,60,25,広島,7
梵,3,40,58,59,58,60,50,広島,6
東　出,1,39,39,77,54,58,67,広島,2
松　本,2,37,39,81,61,53,40,広島,45
中村憲,2,37,35,68,63,40,38,広島,99
安　部,3,37,46,72,62,60,47,広島,60
鈴木将,2,36,53,73,72,38,37,広島,50
鈴木誠,3,35,51,70,65,36,39,広島,51
庄　司,2,34,42,52,63,55,42,広島,52
廣　瀬,3,34,52,59,69,78,59,広島,26
迎,3,33,50,70,63,45,46,広島,44
栗　原,3,31,50,49,47,49,60,広島,5
赤　松,3,29,50,91,74,79,72,広島,38
磯　村,2,28,47,39,55,39,41,広島,61
高　橋,3,28,49,56,63,51,41,広島,25
下水流,2,27,44,68,71,63,54,広島,35
石　原,3,25,55,43,63,60,80,広島,31
岩　本,4,25,61,42,51,40,33,広島,10
美　間,3,23,45,49,68,20,30,広島,59
倉,2,21,48,46,58,40,68,広島,40
白　濱,2,20,40,36,57,42,54,広島,32
上　村,2,12,33,61,54,51,58,広島,27
大　島,2,85,46,87,59,72,68,中日,8
ル　ナ,3,80,77,56,62,50,37,中日,0
森　野,3,69,60,48,56,60,58,中日,7
荒　木,3,61,42,71,50,87,74,中日,2
小笠原,3,58,53,44,56,51,39,中日,36
和　田,3,58,78,44,58,58,67,中日,5
平　田,3,57,61,55,61,60,52,中日,6
松井佑,3,57,53,60,73,43,43,中日,56
藤　井,3,53,54,75,83,47,46,中日,4
谷,2,51,46,68,59,48,46,中日,70
エルナンデス,3,50,61,57,64,58,60,中日,00
堂上剛,3,36,51,51,65,45,42,中日,63
野　本,3,34,50,56,55,55,51,中日,31
堂上直,2,30,44,56,62,57,66,中日,1
高橋周,3,28,56,50,57,45,40,中日,9
赤　坂,3,28,45,50,58,42,41,中日,73
古　本,3,26,45,51,61,41,44,中日,66
中　田,3,26,47,56,43,47,47,中日,50
福　田,3,26,48,46,62,45,45,中日,55
武　山,3,26,49,54,64,44,44,中日,49
工　藤,2,25,43,82,52,68,46,中日,62
桂,2,25,39,47,69,38,38,中日,40
杉　山,3,25,43,54,62,38,34,中日,45
井藤真,3,24,45,50,50,44,45,中日,60
松井雅,2,24,36,57,70,48,56,中日,38
吉　川,3,23,43,70,59,43,46,中日,3
ゴメス,3,23,58,52,60,41,35,中日,44
田　中,3,23,45,47,68,43,50,中日,58
赤　田,3,22,45,40,63,36,45,中日,68
三ツ俣,3,21,47,50,67,51,42,中日,37
森　越,2,21,38,63,62,51,50,中日,54
小　田,2,20,44,28,63,50,65,中日,52
溝　脇,2,20,36,64,49,42,43,中日,48
藤　澤,3,20,41,57,50,36,37,中日,46
谷　繁,3,19,52,38,55,71,73,中日,27
グリエル,3,65,72,75,87,67,68,DeNA,10
荒　波,2,59,48,89,70,69,51,DeNA,4
梶　谷,3,58,68,75,61,39,39,DeNA,3
ブランコ,4,57,80,42,55,34,32,DeNA,42
後　藤,3,55,67,31,39,35,30,DeNA,55
筒　香,4,55,84,52,55,50,28,DeNA,25
黒羽根,2,52,45,54,78,56,40,DeNA,9
嶺　井,2,50,44,54,62,48,48,DeNA,39
石　川,2,46,56,70,48,59,34,DeNA,7
中村紀,3,43,65,38,59,58,62,DeNA,99
多　村,3,41,60,51,63,70,69,DeNA,8
バルディリス,3,41,67,54,80,60,42,DeNA,52
山　崎,2,40,55,56,53,65,58,DeNA,0
白　崎,2,39,47,55,61,59,50,DeNA,29
下　園,2,38,52,53,46,47,45,DeNA,50
赤　堀,3,38,50,56,63,44,44,DeNA,31
乙　坂,2,37,50,68,58,41,42,DeNA,33
関　根,2,34,45,77,66,37,38,DeNA,63
渡邊雄,2,34,44,57,59,42,43,DeNA,44
飛雄馬,2,34,52,51,61,47,43,DeNA,40
桑　原,2,34,46,70,61,46,43,DeNA,37
金　城,3,33,55,61,67,73,73,DeNA,1
松本啓,2,32,52,70,76,55,50,DeNA,6
井　手,3,32,52,55,53,55,41,DeNA,26
柳　田,3,30,50,53,54,44,40,DeNA,36
内　村,1,29,40,86,54,75,58,DeNA,23
加　藤,2,25,36,64,58,48,50,DeNA,60
西　森,2,22,37,61,59,49,48,DeNA,66
