選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
マクガフ,157,53,47,8,0,0,5,0,3,ヤクルト,37
杉　山,156,39,61,4,0,0,3,0,1,ヤクルト,35
近　藤,156,46,48,5,0,0,3,0,2,ヤクルト,52
柴　田,156,27,47,5,0,0,4,0,1,ヤクルト,41
A．J．コール,156,53,58,5,0,1,0,0,4,ヤクルト,63
木　澤,155,33,53,4,0,0,3,0,1,ヤクルト,20
奥　川,155,84,52,8,0,0,2,4,2,ヤクルト,11
梅　野,155,48,43,7,0,0,4,0,3,ヤクルト,38
長谷川,154,37,44,5,0,3,0,2,0,ヤクルト,53
サイスニード,153,44,54,6,0,0,2,1,3,ヤクルト,54
高　橋,153,52,59,7,4,1,0,2,0,ヤクルト,47
石　山,152,59,48,4,0,0,3,1,0,ヤクルト,12
金久保,152,57,50,6,0,1,2,0,3,ヤクルト,48
星,152,36,60,6,0,0,3,0,3,ヤクルト,24
大　西,152,44,54,4,0,1,3,0,0,ヤクルト,44
山　下,152,53,52,6,1,3,0,0,2,ヤクルト,15
竹　山,151,28,26,3,0,0,2,0,1,ヤクルト,62
坂　本,151,44,57,6,2,3,1,0,0,ヤクルト,26
清　水,151,62,55,8,0,6,0,1,1,ヤクルト,17
今　野,151,50,43,6,0,0,2,1,3,ヤクルト,69
原樹理,151,56,72,7,2,0,0,2,3,ヤクルト,16
吉田大喜,150,52,54,6,0,0,2,2,2,ヤクルト,28
高　梨,150,51,55,7,0,0,5,1,1,ヤクルト,14
スアレス,150,55,53,6,0,3,0,3,0,ヤクルト,50
鈴　木,150,33,41,3,0,0,1,0,2,ヤクルト,56
山　野,150,32,57,5,3,1,0,1,0,ヤクルト,21
市　川,149,35,45,4,2,0,0,0,2,ヤクルト,40
嘉手苅,148,35,38,4,2,0,1,0,1,ヤクルト,67
小　川,148,73,73,8,0,3,3,0,2,ヤクルト,29
田　口,147,65,60,8,4,2,2,0,0,ヤクルト,34
寺　島,147,51,52,5,1,1,3,0,0,ヤクルト,18
宮　台,146,38,45,4,1,0,3,0,0,ヤクルト,68
久　保,144,36,46,5,3,0,2,0,0,ヤクルト,61
大　下,144,57,52,8,3,0,2,0,3,ヤクルト,64
石　川,136,80,48,7,2,1,0,3,1,ヤクルト,19
藤　浪,162,20,84,7,0,0,3,0,4,阪神,19
齋　藤,157,25,59,6,0,0,2,1,3,阪神,48
小　野,157,21,64,6,0,0,3,1,2,阪神,98
ケラー,157,32,44,5,0,1,0,4,0,阪神,42
アルカンタラ,156,76,64,7,0,1,3,0,3,阪神,44
佐藤蓮,155,24,41,5,0,0,2,3,0,阪神,30
森　木,154,43,41,6,0,0,2,2,2,阪神,20
西　純,154,36,57,5,0,0,2,1,2,阪神,15
小　川,153,37,40,4,0,0,2,0,2,阪神,66
及　川,153,40,50,6,0,3,0,0,3,阪神,37
小　林,152,35,57,7,1,0,5,0,1,阪神,56
鈴　木,152,31,58,6,1,3,0,2,0,阪神,28
石　井,152,45,48,5,0,3,0,1,1,阪神,69
ウィルカーソン,152,58,66,7,0,1,0,4,2,阪神,52
守　屋,152,53,45,6,0,0,3,1,2,阪神,43
湯　浅,151,41,44,4,0,0,3,0,1,阪神,65
高　橋,151,68,61,7,1,3,3,0,0,阪神,29
ガンケル,151,74,62,8,2,0,2,0,4,阪神,49
岩　貞,150,49,67,8,1,3,4,0,0,阪神,17
馬　場,150,46,60,5,0,0,4,0,1,阪神,18
桐　敷,150,58,52,4,0,2,2,0,0,阪神,47
岡　留,150,38,47,5,0,2,0,2,1,阪神,64
浜　地,150,51,54,6,0,0,2,2,2,阪神,36
村　上,149,50,56,3,0,0,1,2,0,阪神,41
加治屋,149,42,51,6,0,0,4,1,1,阪神,54
二　保,149,55,50,7,2,0,3,2,0,阪神,34
青　柳,148,63,69,9,2,2,0,0,5,阪神,50
尾　仲,148,39,45,6,0,0,2,0,4,阪神,40
