選手名,球速,コントロール,スタミナ,総変化量,スライダー系,カーブ系,フォーク系,シンカー系,シュート系,球団,背番号
由　規,158,40,54,5,0,0,1,0,4,ヤクルト,11
ラルー,153,54,56,5,0,0,1,0,4,ヤクルト,17
村　中,152,37,65,6,0,1,5,0,0,ヤクルト,15
平　井,152,45,46,4,0,0,1,0,3,ヤクルト,67
大　場,152,25,35,3,0,0,2,1,0,ヤクルト,49
ロマン,151,53,73,4,0,1,3,0,0,ヤクルト,53
バーネット,151,45,43,7,0,2,0,1,4,ヤクルト,34
山本哲,151,39,44,4,0,0,4,0,0,ヤクルト,20
館　山,151,67,68,7,1,0,3,0,3,ヤクルト,25
フェルナンデス,150,22,49,3,0,0,0,1,2,ヤクルト,66
石　山,149,50,53,5,0,0,3,2,0,ヤクルト,12
増　渕,148,36,59,4,0,2,0,0,2,ヤクルト,22
中　澤,148,58,55,5,3,1,0,1,0,ヤクルト,14
小　川,148,65,72,8,0,0,4,0,4,ヤクルト,29
八　木,148,52,67,5,2,2,0,1,0,ヤクルト,70
七　條,148,59,48,5,0,0,3,1,1,ヤクルト,42
ウーゴ,148,29,52,3,2,0,1,0,0,ヤクルト,91
日　高,147,43,50,3,1,0,2,0,0,ヤクルト,45
山本斉,147,47,50,5,3,0,0,0,2,ヤクルト,63
松　岡,147,57,51,6,1,0,4,1,0,ヤクルト,21
木　谷,147,51,55,5,0,0,4,0,1,ヤクルト,16
押　本,146,47,56,5,0,0,2,0,3,ヤクルト,65
藤　田,146,46,46,4,0,0,3,0,1,ヤクルト,51
中　根,145,39,41,3,0,0,2,0,1,ヤクルト,38
正　田,145,60,43,5,2,2,0,1,0,ヤクルト,61
田　川,145,26,35,3,0,0,2,0,1,ヤクルト,35
赤　川,145,44,61,6,4,0,1,0,1,ヤクルト,47
江　村,144,54,37,5,0,0,4,1,0,ヤクルト,43
阿　部,144,58,47,5,0,0,3,0,2,ヤクルト,58
太　田,144,40,40,4,2,2,0,0,0,ヤクルト,13
古　野,144,51,45,4,0,0,2,0,2,ヤクルト,40
久　古,143,55,35,4,3,0,1,0,0,ヤクルト,26
徳　山,142,35,46,4,0,0,1,0,3,ヤクルト,62
石　川,142,61,64,6,2,0,0,3,1,ヤクルト,19
松井光,142,48,52,5,2,0,2,0,1,ヤクルト,44
ザラテ,154,31,38,2,1,0,1,0,0,阪神,95
スタンリッジ,153,59,74,9,0,0,1,6,2,阪神,55
藤　浪,153,47,59,7,0,0,1,1,5,阪神,19
メッセンジャー,152,55,72,7,0,0,2,4,1,阪神,54
ボイヤー,152,58,43,4,0,0,0,4,0,阪神,44
林,152,35,46,3,0,0,1,0,2,阪神,98
田　面,151,31,44,3,0,0,2,0,1,阪神,41
久　保,151,66,60,7,0,0,4,0,3,阪神,34
福　原,150,62,44,6,0,0,0,3,3,阪神,28
能　見,149,70,81,7,2,0,5,0,0,阪神,14
渡　辺,148,63,51,6,0,2,1,0,3,阪神,12
久保田,148,52,65,4,0,0,2,0,2,阪神,30
西　村,147,59,46,3,0,0,3,0,0,阪神,43
藤　原,147,45,42,4,3,1,0,0,0,阪神,15
小　嶋,147,38,52,3,1,1,1,0,0,阪神,29
鶴,146,57,52,5,1,0,1,0,3,阪神,46
岩　田,146,48,68,7,3,4,0,0,0,阪神,21
松　田,146,36,39,2,0,0,1,0,1,阪神,56
秋　山,146,43,62,5,0,0,1,2,2,阪神,27
安　藤,146,78,54,7,1,0,3,0,3,阪神,16
加　藤,146,49,33,7,6,0,1,0,0,阪神,63
筒　井,146,58,53,7,3,0,0,4,0,阪神,20
金　田,146,42,49,3,0,0,2,0,1,阪神,48
白仁田,146,41,56,3,0,0,1,0,2,阪神,64
伊藤和,144,33,40,3,0,0,1,1,1,阪神,17
岩　本,144,51,54,4,0,0,2,1,1,阪神,59
清　原,144,40,51,4,0,0,2,0,2,阪神,47
榎　田,144,60,62,9,3,5,0,1,0,阪神,13
二　神,143,52,53,3,0,0,0,1,2,阪神,18
高　宮,143,38,39,4,0,3,0,1,0,阪神,40
歳　内,142,41,50,5,0,0,3,1,1,阪神,26
玉　置,141,51,42,5,0,0,2,3,0,阪神,97
マシソン,160,42,51,9,0,0,4,0,5,巨人,20
林イー豪,156,33,41,3,0,0,2,0,1,巨人,96
澤　村,155,61,75,8,0,0,3,1,4,巨人,15
アコスタ,155,27,38,4,0,0,4,0,0,巨人,49
西　村,154,62,55,8,1,0,4,0,3,巨人,35
菅　野,153,82,75,8,0,0,3,1,4,巨人,19
公　文,152,41,45,4,2,1,1,0,0,巨人,57
福　田,152,38,47,4,0,0,2,0,2,巨人,29
山　口,152,71,47,11,4,0,4,0,3,巨人,47
辻　内,151,32,44,4,2,2,0,0,0,巨人,98
笠　原,151,29,55,5,0,0,2,1,2,巨人,63
宮　國,150,48,64,6,0,0,2,1,3,巨人,30
小　山,150,52,61,5,0,0,3,2,0,巨人,59
一　岡,150,41,38,5,0,0,4,0,1,巨人,46
星　野,150,43,41,4,3,0,1,0,0,巨人,60
野間口,149,44,54,5,0,0,2,0,3,巨人,45
田　原,149,52,51,4,0,0,0,2,2,巨人,37
高木京,149,44,52,6,0,4,2,0,0,巨人,28
田　中,148,22,36,3,0,0,0,1,2,巨人,68
今　村,148,31,53,3,2,0,1,0,0,巨人,65
江柄子,147,39,56,4,1,0,2,0,1,巨人,62
高木康,147,62,42,6,2,3,0,0,1,巨人,13
松本竜,146,48,55,4,2,0,2,0,0,巨人,41
ホールトン,146,61,66,6,0,0,3,1,2,巨人,54
内　海,146,55,73,5,0,2,1,2,0,巨人,26
越　智,146,28,46,4,0,0,4,0,0,巨人,22
杉　内,145,71,83,9,4,0,5,0,0,巨人,18
香　月,145,48,44,5,2,0,1,0,2,巨人,17
阿　南,144,46,61,3,1,0,0,2,0,巨人,99
久　保,142,57,48,6,0,0,4,1,1,巨人,11
須　永,142,36,64,3,2,0,0,0,1,巨人,66
岸,141,53,52,3,1,1,0,0,1,巨人,90
青　木,140,68,44,6,1,4,0,0,1,巨人,43
ミコライオ,157,62,39,6,4,0,1,0,1,広島,57
今　村,153,47,58,3,0,0,3,0,0,広島,16
前田健,152,75,89,9,0,3,0,1,5,広島,18
中村恭,152,27,55,4,2,2,0,0,0,広島,22
大　竹,151,68,69,8,1,4,0,0,3,広島,17
福　井,151,27,59,2,0,0,2,0,0,広島,11
中　田,150,34,51,4,0,0,2,0,2,広島,34
金　丸,150,37,39,3,1,0,0,0,2,広島,30
ソコロビッチ,150,32,42,3,0,0,2,0,1,広島,58
