選手名,弾道,ミート,パワー,走力,肩力,守備力,捕球,球団,背番号
川　端,3,83,59,70,58,56,50,ヤクルト,5
山　田,3,75,87,81,65,67,69,ヤクルト,1
今　浪,2,60,47,56,58,55,52,ヤクルト,59
雄　平,4,57,60,71,74,60,52,ヤクルト,41
畠　山,3,54,79,29,54,65,61,ヤクルト,33
坂　口,2,50,47,70,58,72,73,ヤクルト,42
荒　木,3,46,54,60,62,54,53,ヤクルト,24
上　田,2,46,44,80,72,62,45,ヤクルト,50
バレンティン,4,43,80,56,84,45,45,ヤクルト,4
飯　原,3,39,52,78,77,44,19,ヤクルト,9
三　輪,1,36,30,88,50,54,51,ヤクルト,60
中　村,3,36,46,65,82,60,80,ヤクルト,52
比屋根,3,35,45,90,57,50,36,ヤクルト,0
大　引,3,32,55,67,60,71,73,ヤクルト,2
田中浩,2,28,45,67,51,61,66,ヤクルト,7
森　岡,3,27,43,43,54,45,44,ヤクルト,10
谷　内,2,26,36,55,58,64,52,ヤクルト,46
武　内,3,25,53,48,46,71,65,ヤクルト,8
西　浦,3,24,48,60,51,50,48,ヤクルト,3
鵜久森,3,24,60,46,46,39,36,ヤクルト,91
藤　井,2,23,38,75,76,36,31,ヤクルト,51
松　井,4,22,56,59,62,39,38,ヤクルト,57
井　野,2,21,41,44,68,51,34,ヤクルト,63
田中雅,2,20,43,63,53,49,32,ヤクルト,28
西　田,3,18,41,51,74,40,51,ヤクルト,30
山　崎,3,18,32,78,60,46,40,ヤクルト,31
山　川,3,17,47,48,75,39,36,ヤクルト,55
星　野,3,17,44,39,72,41,32,ヤクルト,37
奥　村,2,16,39,62,58,40,35,ヤクルト,56
廣　岡,3,15,45,54,57,32,31,ヤクルト,36
川　上,3,15,39,65,69,37,35,ヤクルト,69
原　泉,3,13,50,43,71,23,22,ヤクルト,65
渡　邉,3,13,38,75,55,30,28,ヤクルト,49
ヘイグ,3,65,63,40,62,38,41,阪神,36
今　成,2,64,48,56,59,70,60,阪神,49
福　留,3,62,74,57,75,68,80,阪神,8
